,SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,MIGSI,POSS_SHIFT_CROSS,SAMP_SHIFT_CROSS,MIN_SH_WT,MEAN_SH_WT,MAX_SH_WT,COUNT_RESPS,SUM_SH_WT
84,711,1,,,,,,1760.0,1760.0,,3.0,5280.0
159,711,2,1.0,1.0,10.0,176.0,2.0,880.0,880.0,880.0,15.0,13200.0
85,711,2,,,,,,880.0,880.0,,15.0,13200.0
160,721,1,1.0,1.0,10.0,708.0,17.0,416.470588235,416.470588235,416.470588235,33.0,13743.5294118
161,721,1,1.0,1.0,20.0,708.0,17.0,832.941176471,832.941176471,832.941176471,52.0,43312.9411765
86,721,1,,,,,,416.470588235,832.941176471,,85.0,57056.4705882
162,721,2,1.0,1.0,10.0,710.0,17.0,417.647058824,417.647058824,417.647058824,108.0,45105.8823529
163,721,2,1.0,1.0,20.0,710.0,17.0,835.294117647,835.294117647,835.294117647,21.0,17541.1764706
87,721,2,,,,,,417.647058824,835.294117647,,129.0,62647.0588235
342,722,1,1.0,1.0,,461.0,0.0,,,,,
343,722,2,1.0,1.0,,459.0,0.0,,,,,
344,731,1,1.0,1.0,,22.0,0.0,,,,,
345,731,2,1.0,1.0,,22.0,0.0,,,,,
346,741,1,1.0,1.0,,0.0,0.0,,,,,
347,741,2,1.0,1.0,,0.0,0.0,,,,,
164,811,1,1.0,1.0,10.0,1554.0,56.0,277.5,277.5,277.5,363.0,100732.5
165,811,1,1.0,3.0,10.0,377.0,10.0,377.0,377.0,377.0,30.0,11310.0
166,811,1,2.0,1.0,10.0,1322.0,36.0,367.222222222,367.222222222,367.222222222,266.0,97681.1111111
167,811,1,2.0,3.0,10.0,298.0,7.0,425.714285714,425.714285714,425.714285714,44.0,18731.4285714
88,811,1,,,,,,277.5,425.714285714,,703.0,228455.039683
168,811,2,1.0,1.0,10.0,1582.0,61.0,259.344262295,259.344262295,259.344262295,491.0,127338.032787
