,SERIAL,SPEND,SPENDIMPREASON,FARE,FAREK
610,4.10228840005e+11,,,55.0,3.0
611,4.10228840006e+11,,,55.0,3.0
612,4.10228840008e+11,,,39.0,3.0
613,4.10228840016e+11,,,55.0,3.0
614,4.10228840017e+11,,,49.0,3.0
615,4.10228840018e+11,,,39.0,3.0
616,4.10228840027e+11,,,74.0,5.0
617,4.10228840028e+11,865.0,,65.0,3.0
618,4.10228840035e+11,,,66.0,5.0
619,4.10228840036e+11,,,33.0,1.0
620,4.1022884004e+11,,,55.0,2.0
621,4.10228840041e+11,,,54.0,2.0
622,4.10228840042e+11,,,65.0,3.0
623,4.10228840043e+11,,,65.0,3.0
624,4.10228840044e+11,,,,
625,4.10228840046e+11,,,55.0,5.0
626,4.10228841303e+11,,,49.0,3.0
627,4.10228841304e+11,,,33.0,1.0
628,4.10228841305e+11,,,74.0,5.0
629,4.10228841306e+11,,,41.0,3.0
630,4.10228841309e+11,,,66.0,5.0
631,4.10228841312e+11,,,54.0,2.0
632,4.10228841313e+11,,,41.0,3.0
633,4.10228856002e+11,,,90.0,1.0
634,4.10228856003e+11,,,63.0,1.0
635,4.10228856005e+11,,,65.0,3.0
636,4.10228856008e+11,,,90.0,1.0
637,4.10228856009e+11,1387.0,,82.0,5.0
638,4.10228856012e+11,315.0,,63.0,1.0
639,4.10228856015e+11,450.0,,43.0,1.0
640,4.10228856016e+11,,,54.0,2.0
641,4.10228856018e+11,,,48.0,0.0
