,SERIAL,SHIFT_WT
3545,11032071,40.0
3546,11032072,40.0
3547,11032073,40.0
3548,11032074,40.0
3549,11032075,40.0
3550,11032076,40.0
3551,11032077,40.0
3552,11032078,40.0
3553,11032079,40.0
3554,11032080,40.0
3555,11032081,40.0
3556,11032082,40.0
3557,11032083,40.0
3558,11032084,40.0
3559,11032085,40.0
3560,11032086,40.0
3561,11032087,40.0
3562,11032088,40.0
3563,11032089,40.0
3564,11032090,40.0
3565,11032091,40.0
3566,11032092,40.0
3567,11032093,40.0
3568,11032094,40.0
3569,11032095,40.0
3570,11032096,40.0
3571,11032097,40.0
3572,11032098,40.0
3573,11032099,40.0
3574,11032100,40.0
3575,11032101,40.0
5391,11033001,60.0
5392,11033002,60.0
5393,11033003,60.0
5394,11033004,60.0
5395,11033005,60.0
5396,11033006,60.0
5397,11033007,60.0
5398,11033008,60.0
5399,11033009,60.0
5400,11033010,60.0
5401,11033011,60.0
5402,11033012,60.0
5403,11033013,60.0
5404,11033014,60.0
5405,11033015,60.0
5406,11033016,60.0
5407,11033017,60.0
5408,11033018,60.0
5409,11033019,60.0
5410,11033020,60.0
5411,11033021,60.0
5412,11033022,60.0
5413,11033023,60.0
5414,11033024,60.0
5415,11033025,60.0
5416,11033026,60.0
5417,11033027,60.0
5418,11033028,60.0
5419,11033029,60.0
5420,11033030,60.0
5421,11033031,60.0
5422,11033032,60.0
5423,11033033,60.0
5424,11033034,60.0
5425,11033035,60.0
5426,11033036,60.0
5427,11033037,60.0
5428,11033038,60.0
5429,11033039,60.0
5430,11033040,60.0
5431,11033041,60.0
5432,11033042,60.0
5433,11033043,60.0
5434,11033044,60.0
5435,11033045,60.0
5436,11033046,60.0
5437,11033047,60.0
5438,11033048,60.0
5439,11033049,60.0
5440,11033050,60.0
5441,11033051,60.0
5442,11033052,60.0
5443,11033053,60.0
5444,11033054,60.0
5445,11033055,60.0
5446,11033056,60.0
5447,11033057,60.0
5448,11033058,60.0
5449,11033059,60.0
5450,11033060,60.0
5451,11033061,60.0
5452,11033062,60.0
5453,11033063,60.0
5454,11033064,60.0
5455,11033065,60.0
5456,11033066,60.0
5457,11033067,60.0
5458,11033068,60.0
5459,11033069,60.0
5460,11033070,60.0
